2.11 - Emisiones de gases de efecto invernadero(a),,,,,,,,2.11 - Emisiones de gases de efecto invernadero,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero ,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero.,,,,,,,
         ,,,,,,,,          ,,,,,,,,,          ,,,,,,,,,,,,,,,,
,,,,,,Gigagramo,,,,,,,,,Gigagramo,,,,,,,,,Gigagramo,,          ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigagramo
,,,,,,,,,,,,,,,,,,,,,,,,,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
AÑOS,CO2,CH4,N2O,SF6,HFC,PFC,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2010 (a),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Brutas,"25.629,81","447,65","9,74",…,…,…,,  Uso de solventes,..,..,.,..,..,"20,76",..,,Emisiones netas,"2.533,70","530,55","20,17",…,…,…,…,,Emisiones brutas,"30.273,77","626,71","24,54",..,..,..,..
Emisiones Netas,"10.091,17","447,65","9,74",…,…,…,,  Agricultura,..,"193,12","7,28","0,28","9,75",..,..,,      Energía,"29.290,37","121,85","0,68",…,…,…,…,,,,,,,,,
      Energía,"23.049,87","114,27","0,66",…,…,…,,  Cambio de uso de la tierra y silvicultura,"-14.182,13","33,62", ,"0,09","3,31",..,..,,      Procesos industriales,"703,70",,"0,23",…,…,…,…,,Emisiones netas,"1.177,47","626,71","24,54",..,..,..,..
      Procesos industriales y uso de productos,"1.202,64",-,-,…,…,…,,  Desechos,.,"125,60","0,58",.,.,.,.,,  Agricultura,"179,44","201,60","18,62",…,…,…,…,,      Energía,"28.641,28","119,49","0,66",..,..,..,..
"      Agricultura, silvicultura y otros usos de la tierra","-14.161,34","233,88","8,54",…,…,…,,2014,,,,,,,,,  Cambio de uso de la tierra y silvicultura,"-27.460,36",-,-,…,…,…,…,,      Procesos industriales,"707,03",,"0,20",..,..,..,..
      Desechos,-,"99,50","0,54",…,…,…,,Emisiones brutas,"28.425,21","461,43","11,19","92,35","476,04","84,13","779,71",,  Desechos,-,"207,10","0,64",.,.,.,.,,  Agricultura,"26,25","333,10","22,93",..,..,..,..
2006,,,,,,,,Emisiones netas,"7.951,40","461,43","11,19","92,35","476,04","84,13","779,71",,2018 (a),,,,,,,,,  Cambio de uso de la tierra y silvicultura,"-28.197,09",,,..,..,..,..
Emisiones Brutas,"29.861,43","433,54","10,16",…,…,…,,      Energía,"27.389,93","87,10","0,56","91,45","444,52","34,32","772,36",,Emisiones brutas,"30.186,61","499,56","15,86",..,..,..,..,,  Desechos,,"174,12","0,75",.,.,.,.
Emisiones Netas,"13.824,88","433,54","10,16",…,…,…,,      Procesos industriales,"1.035,28",.,.,"0,01",-,"29,05","7,35",,Emisiones netas,"1.561,61","499,56","14,93",..,..,..,..,,,,,,,,,
      Energía,"26.572,31","103,89","0,66",…,…,…,,  Uso de solventes,..,..,.,..,..,"20,76",..,,      Energía,"29.285,37","118,51","0,72",..,..,..,..,,,,,,,,,
