8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       Cebada sin moler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,100,798,900,-,524,351,916,220,40,18,58,26,36,51,30,26,0,102,101,67,100,100,-,50,50,,,,,,
,,         Valor,MP,16,123,854,-,149,114,368,86,13,6,27,-,17,35,16,17,0,47,45,30,44,49,-,27,45,,,,,,
,,       Maíz sin moler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,67.612,58.585,80.837,151.692,236.341,366.401,503.595,649.627,599.917,708.389,716.984,682.526,785.856,712.800,707.712,769.144,809.861,815.860,875.123,970.125,812.333,873.225,779.732,509.411,342.345,,,,,,
,,         Valor,MP,9.941,8.226,11.262,19.481,31.297,49.292,77.621,92.336,86.600,146.863,207.542,147.402,180.059,240.939,239.940,289.879,245.044,208.788,193.093,204.632,193.843,199.040,171.561,164.339,125.870,,,,,,
,,       Avena sin moler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,201,484,566,-,687,677,803,656,421,474,204,10,-,1.020,1.184,815,1.872,2.215,2.198,1.139,1.231,1.270,644,812,150,,,,,,
,,         Valor,MP,32,100,117,-,235,255,278,196,135,162,106,-,-,529,628,484,1.024,1.144,1.129,555,552,566,349,403,110,,,,,,
,,       Sémola y harina de trigo o de morcajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        o tranquillón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,190.141,124.432,194.232,207.005,264.369,289.354,178.577,133.104,216.826,165.105,141.288,82.172,52.912,11.411,18,6,14.028,4,15.000,20.095,30.168,545,20.601,52.029,45.324,,,,,,
,,         Valor,MP,42.959,26.506,41.984,49.846,60.811,77.136,57.669,40.759,60.853,74.639,93.021,33.404,19.244,6.354,10,10,7.720,9,5.058,8.561,12.370,9.638,9.042,28.707,31.974,,,,,,
,,"       Granos de cereales, elaborados o preparados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,219,185,647,206,208,205,918,239,270,25.528,9.612,589,1.170,171,422,400,468,424,246,700,584,831,568,591,774,,,,,,
