8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,U,10.731,8.388,27.503,40.087,65.990,5.263,55.375,25.628,25.866,16.999,20.276,6.468,15.762,13.846,15.969,23.304,15.883,8.628,9.580,7.419,4.919,2.964,2.586,8.603,2.842,,,,,,
,,            Valor,MP,75.802,26.931,28.417,26.278,15.736,17.350,21.357,27.883,36.655,61.896,85.489,26.012,55.538,54.968,63.664,92.230,63.987,49.630,58.848,40.531,27.516,20.310,14.911,11.358,14.029,,,,,,
,,         Otros motores de combustión interna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           con encendido por compresión (diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           o semidiesel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,4.566,5.185,11.614,5.328,2.843,1.003,917,584,4.471,3.837,1.469,896,3.456,3.595,2.942,4.990,859,3.557,4.098,1.410,1.798,517,513,266,527,,,,,,
,,             Valor,MP,11.900,8.718,8.620,4.427,2.846,1.650,2.388,3.423,5.640,8.682,5.135,17.281,9.478,6.196,17.191,13.531,20.493,18.916,19.458,22.108,18.793,10.815,9.781,7.385,14.791,,,,,,
,,         Partes y piezas adecuados para usar con  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          motores de combustión interna de émbolo,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           con encendido por chispa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,7.091,7.043,4.298,3.982,4.029,3.697,4.281,5.643,6.998,7.915,8.602,3.778,3.423,5.042,4.316,6.120,6.195,11.791,9.711,9.600,10.042,7.642,3.098,2.272,2.307,,,,,,
,,"         Partes y piezas, n.e.p.; de los motores adecua- ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          dos para usar con motores de combustión inter-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          na de émbolo, con ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       encendido por compresión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,19.275,19.623,41.858,18.608,11.853,12.464,13.610,17.665,19.450,24.507,31.222,22.543,18.983,30.643,36.977,46.738,38.401,40.340,40.993,51.455,33.717,22.676,9.918,13.676,18.206,,,,,,
,,        Grupos  electrógenos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,-,-,-,-,-,-,2.170,5.606,17.792,1.900,20.983,1.464,654,437,556,730,1.620,932,4.090,4.270,8.516,596,1.104,1.844,2.884,,,,,,
,,             Valor,MP,-,-,-,-,-,-,11.000,176.566,520.965,328.923,167.564,16.838,10.422,5.111,41.081,50.817,13.325,12.277,25.796,28.379,57.539,24.076,8.406,6.398,35.605,,,,,,
,,        Motores eléctricos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,-,-,-,-,-,-,49.425,61.728,52.310,45.533,71.509,83.459,47.108,180.234,243.041,301.763,137.372,108.962,153.343,127.650,52.455,31.378,98.297,51.293,32.193,,,,,,
,,             Valor,MP,-,-,-,-,-,-,6.920,12.269,13.211,11.605,12.853,14.221,10.328,19.291,15.610,19.849,19.775,24.417,18.368,17.165,24.295,29.220,12.537,8.463,26.569,,,,,,
,72,        Maquinarias especiales para determinadas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          industrias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,88.962,112.325,117.663,120.925,101.090,99.293,90.504,160.677,230.641,252.004,309.735,241.646,193.026,220.291,240.182,309.264,224.494,326.901,303.830,269.894,255.389,286.596,186.081,109.661,154.553,,,,,,
,,"        Máquinas  agrícolas, hortícolas  o  forestales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,-,-,-,-,-,-,729,770,799,90,854,1.332,335,2.863,1.372,47.088,7.531,798,12.575,2.523,1.488,676,2.863,1.083,207,,,,,,
,,             Valor,MP,-,-,-,-,-,-,459,343,896,268,3.849,3.118,2.041,3.700,5.004,5.814,1.000,2.091,7.125,7.815,3.783,953,6.244,2.430,639,,,,,,
,,        Tractores de ruedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,350,311,116,182,68,4.946,66,277,190,662,261,266,217,291,550,957,505,3.681,1.113,453,561,672,236,108,446,,,,,,
,,             Valor,MP,3.931,4.933,1.345,3.190,1.072,1.450,843,2.602,2.848,5.976,6.803,10.289,7.345,5.850,15.601,29.479,8.219,65.945,30.915,13.558,10.932,26.025,3.907,2.287,10.295,,,,,,
,,         Maquinaria  cosechadora  y  trilladora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,-,-,-,-,-,-,59,144,77,131,1.069,1.437,1.268,553,285,563,530,238,52.136,402,1.610,151,1.107,217,669,,,,,,
,,             Valor,MP,-,-,-,-,-,-,653,249,456,3.050,17.179,13.320,10.423,2.555,22.258,28.943,8.838,31.562,23.077,9.741,2.385,13.397,10.469,1.295,909,,,,,,
,,         Máquinas para apisonar o compactar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,17,44,50,65,126,14,18,17,60,85,142,33,147,19,59,680,62,40,395,206,197,165,35,81,61,,,,,,
,,             Valor,MP,917,610,469,748,4.320,183,101,345,1.372,936,6.712,875,661,1.612,3.525,1.791,1.781,2.206,2.298,5.715,2.833,4.301,1.391,508,2.628,,,,,,
,,         Topadoras y topadoras angulares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,12,6,13,8,11,4,5,16,22,38,68,30,30,26,104,60,44,38,86,451,50,64,32,17,44,,,,,,
,,             Valor,MP,1.696,921,2.278,527,1.946,1.223,700,2.968,5.406,5.357,13.370,5.247,9.279,8.016,23.092,5.874,7.980,5.783,18.087,12.037,10.651,14.378,3.869,4.912,5.707,,,,,,
,,"         Palas mecánicas, excavadoras y cargadores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          de pala autopropulsada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,823,151,297,1.223,323,95,120,230,324,258,392,227,140,253,1.741,412,1.307,328,323,734,8.244,7.417,200,213,139,,,,,,
,,             Valor,MP,6.731,6.390,11.585,8.763,6.902,8.612,7.772,19.567,16.446,17.628,33.381,17.469,11.863,26.530,19.139,30.762,23.052,26.629,32.739,24.303,27.830,24.916,19.345,11.457,17.925,,,,,,
,,         Conformadoras y niveladoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,3,8,50,               -,5,                 -,4,2,4,17,51,25,25,12,34,47,47,42,41,16,19,34,24,6,12,,,,,,
,,             Valor,MP,474,78,187,               -,749,                 -,507,333,765,654,3.349,4.047,4.646,2.714,3.837,1.408,4.449,3.052,2.393,2.185,3.172,4.288,2.173,1.315,1.820,,,,,,
,,         Raedoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,                 -,                 -,4,                 -,1,                 -,8,                 -,                 -,                 -,                 -,                 -,                 -,7,                 -,12,                 -,2,                 -,                 -,                 -,                 -,                 -,                 -,                 -,,,,,,
,,             Valor,MP,                 -,                 -,41,                 -,1,                 -,143,                 -,                 -,                 -,                 -,                 -,                 -,1.173,                 -,779,                 -,55,                 -,                 -,                 -,                 -,                 -,                 -,                 -,,,,,,
,,"         Máquinas para mezclar o amasar tierra,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          piedras, menas u otras sustancias minerales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          sólidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,46,1.472,3.537,7.865,207,256,342,964,5.606,816,1.043,826,639,848,145,298,383,674,1.121,573,349,291,180,292,8.880,,,,,,
,,             Valor,MP,324,940,1.287,3.287,210,792,2.892,1.713,11.168,3.319,11.265,4.486,2.773,1.139,1.078,4.467,1.001,2.190,4.411,7.656,4.640,5.255,433,1.235,843,,,,,,
,,"         Máquinas para la elaboración de metales, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,57,6.788,441,31,59,6,146,363,524,100,29,428,-,306,211,156,889,415,242,28,27,1.181,7,37,182,,,,,,
,,"         Máquinas con funciones especiales, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,1.937,8.711,5.476,3.540,3.007,3.134,3.656,3.999,5.600,2.786,9.344,5.895,7.232,9.358,12.446,5.281,4.507,10.585,8.851,7.052,10.675,9.057,8.212,7.582,10.500,,,,,,
,,         Accesorios y piezas para equipos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          agrícolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,6.245,9.651,10.566,7.668,7.795,4.166,3.025,1.781,3.504,5.864,6.181,8.336,4.165,6.759,5.985,9.975,8.985,6.652,7.647,9.301,7.153,5.819,5.195,2.704,1.727,,,,,,
,,         Accesorios y piezas para equipos y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          máquinas de construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,7.572,8.940,12.456,13.060,15.457,12.110,13.015,39.839,26.498,34.563,46.845,40.260,39.788,38.350,36.565,33.726,29.824,41.756,38.252,37.433,31.739,25.407,22.102,16.164,25.380,,,,,,
,,         Repuestos para máquinas industria  textil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,935,727,668,469,1.002,730 ,752,316,1.383,1.198,2.155,1.760,1.503,1.422,1.599,2.200,2.525,1.738,1.874,1.847,2.076,1.918,1.914,851,1.436,,,,,,
,,         Repuestos para máquinas industria calzado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,268,342,120,983,211,281,230,72,15,89,180,273,397,484,63,1.161,125,210,284,431,78,253,68,141,28,,,,,,
,,         Repuestos para máquinas industria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          artes gráficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,1.769,1.717,2.351,1.662,1.376,1.676,3.007,1.378,1.412,2.513,6.294,7.138,10.166,16.472,15.086,19.012,14.574,19.352,16.892,14.450,3.813,4.965,1.669,1.551,2.976,,,,,,
,,         Repuestos para máquinas industria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          del vidrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,2.202,2.011,1.267,2.133,3.036,1.711,1.626,1155 ,2.947,2.376,3.093,5.681,5.701,8.282,5.293,6.135,6.197,3.568,4.636,5.035,9.362,5.530,4.403,3.205,4.530,,,,,,
,,         Repuestos para máquinas industria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          alimenticia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,3.466,5.887,4.336,8.437,5.873,6.428,5.275,4224 ,8.050,5.083,11.944,7.054,8.449,8.463,4.907,7.474,6.002,8.371,6.513,10.734,15.820,11.422,7.838,2.964,2.763,,,,,,
,,         Repuestos para máquinas de coser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,597,593,409,487,445,212,379,238,554,953,1.170,2.303,1.269,1.264,1.034,1.355,1.450,1.204,2.414,1.013,446,322,585,193,500,,,,,,
,73,        Máquinas para trabajar metales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,10.528,16.969,13.708,12.413,12.067,10.746,11.995,10.385,17.752,17.207,34.797,22.746,16.955,26.284,31.089,31.505,25.519,31.022,31.184,27.611,31.386,31.763,26.416,9.364,27.166,,,,,,
,,         Máquinas herramientas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,2.652,5.948,2.936,6.634,4.360,16.208,27.248,10.805,6.263,3.559,6.426,5.262,1.982,4.280,1.774,3.802,1.069,14.999,38.896,37.115,15.737,17.525,7.517,828,2.923,,,,,,
,,             Valor,MP,3.221,5.060,4.740,3.949,7.306,6.032,4.888,4.553,9.078,4.312,13.670,9.731,5.641,6.961,6.388,12.345,9.061,5.549,12.429,11.473,11.790,13.065,6.906,3.099,4.786,,,,,,
,,         Accesorios y piezas para máquinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          herramientas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,1.393,1.366,2.071,1.575,1.046,790,938,935,1.240,1.211,3.485,2.054,2.159,4.519,9.742,4.945,6.100,5.386,4.397,4.203,4.159,5.457,5.601,1.674,1.875,,,,,,
,,         Equipos de soldadura eléctrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,55.351,18.170,19.078,48.600,24.448,29.903,21.088,36.453,30.539,26.611,48.488,41.191,19.957,30.453,51.112,42.685,40.364,48.325,27.581,20.183,14.493,14.006,19.952,7.039,9.365,,,,,,
,,             Valor,MP,1.515,2.506,2.654,2.074,1.255,1177 ,2.626,1.743,3.474,5.038,8.622,4.966,3.649,5.332,6.009,6.322,3.145,12.022,6.804,4.934,6.848,3.605,3.416,2.282,2.786,,,,,,
,74,"        Maquinaria y equipo industrial en general,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"         n.e.p., y partes y piezas de máquinas, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,249.889,269.441,259.300,245.249,203.639,236.364,279.885,329.699,430.564,487.243,686.096,422.961,372.870,543.631,495.864,675.387,504.293,637.759,638.428,585.749,641.162,533.714,456.094,339.082,347.203,,,,,,
,,         Máquinas de acondicionamiento de aire de los,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          tipos usados en ventanas o paredes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         autónomas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,34.427,18.771,98.479,47.982,18.376,32.052,40.790,41.134,352.348,87.422,116.786,25.584,19.027,56.635,42.493,93.779,71.013,84.841,163.820,65.045,39.635,29.786,530.929,241.355,114.217,,,,,,
,,             Valor,MP,5.959,6.156,11.782,8.087,5.143,9.171,12.487,14.500,50.423,19.649,30.532,8.852,8.072,18.503,13.516,26.046,20.138,27.981,28.649,19.085,17.702,14.084,59.180,51.730,29.854,,,,,,
,,"         Partes y piezas de refrigeradores, congeladores   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          u otros equipos de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        refrigeración o congelación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,7.546,7.357,7.723,4.618,4.414,4.134,4.080,4.799,5.688,8.472,14.339,7.716,9.519,10.699,9.768,13.592,10.011,13.922,14.482,13.399,11.421,8.410,6.628,4.106,3.549,,,,,,
,,         Partes y piezas de las máquinas de acondicio-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          namiento de aire del rubro 741.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,17.183,18.895,11.206,8.185,5.698,6.001,5.419,5.556,8.246,6.784,10.128,5.240,4.901,8.168,8.360,9.012,6.580,8.690,5.753,8.823,17.858,14.084,59.180,4.138,6.276,,,,,,
,,"         Partes y piezas, n.e.p., de las máquinas de ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          los rubros 741.73 a 741.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,8.422,4.482,2.436,3.610,4.002,3.223,3.911,5.902,6.278,5.127,15.813,4.912,5.125,7.014,5.870,7.975,6.547,8.690,3.401,6.514,3.912,6.442,3.604,3.581,1.832,,,,,,
,,         Bombas para líquidos con dispositivo de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          medición o sin él ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,127.752,123.721,141.935,184.388,78.735,96.349,183.803,382.182,503.856,175.352,264.260,64.497,69.974,99.045,94.709,139.316,154.362,1.015.045,258.905,233.924,233.197,192.386,86.790,108.534,108.174,,,,,,
,,             Valor,MP,21.977,21.937,19.156,19.075,14.212,15.903,22.985,27.893,34.792,48.937,70.946,34.256,39.985,49.046,51.291,63.309,53.659,59.842,69.694,59.461,69.521,45.188,33.416,23.049,30.218,,,,,,
,,         Accesorios para bombas de líquidos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,6.814,6.203,6.902,7.273,6.093,7.716,9.717,10.709,9.908,20.440,22.032,12.101,16.211,17.692,16.576,17.514,14.752,18.874,15.269,17.029,19.550,19.314,12.326,11.511,12.913,,,,,,
,,         Compresores de equipos de refrigeración,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,-,-,-,-,-,-,139.681,114.392,60.022,46.248,49.880,21.225,39.449,42.365,170.430,137.226,38.317,79.851,84.075,61.396,34.491,28.784,25.658,13.643,50.708,,,,,,
,,             Valor,MP,-,-,-,-,-,-,8.693,7.660,7.743,7.480,13.104,5.860,7.213,8.992,13.024,17.033,9.209,13.684,15.060,10.780,13.174,7.262,8.191,5.731,6.673,,,,,,
,,         Compresores de aire montados sobre ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           ruedas para remolques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,5.371,13.903,1.783,1.429,940,770,1.386,1.037,1.437,1.018,1.846,1.399,15.378,899,1.269,3.099,1.903,2.242,20.927,2.953,2.239,1.510,398,1.094,1.566,,,,,,
,,             Valor,MP,1.763,3.891,2.976,3.408,1.604,2.742,2.927,1.821,2.671,4.203,5.513,3.797,12.894,2.128,4.309,8.131,4.847,4.619,6.524,6.010,4.801,3.409,2.491,755,2.547,,,,,,
,,"         Ventiladores de mesa, piso, pared, ventana,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"           techo, con motor incorporado ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,760.809,1.023.189,247.852,735.852,579.613,598.289,433.691,1.385.775,660.059,445.810,814.298,1.147.767,439.362,734.012,431.532,747.358,390.602,694.356,843.272,1.115.795,895.577,729.688,251.624,524.795,292.146,,,,,,
,,             Valor,MP,10.262,12.729,3.253,8.607,7.329,7.497,6.038,15.967,7.849,6.170,13.279,6.769,6.935,13.576,8.424,14.054,7.947,14.003,16.105,22.165,18.134,17.527,5.558,16.467,9.899,,,,,,
,,"         Partes y piezas, n.e.p., de máquinas y aparatos ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           de filtración o depuración,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,2.018,4.873,3.814,2.829,1.918,3.470,5.335,3.050,4.129,5.121,18.719,5.502,8.361,6.779,5.775,8.832,4.955,8.314,14.021,7.062,9.926,12.031,10.355,7.730,4.972,,,,,,
,,"         Otras carretillas autopropulsadas, provistas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           de equipo de elevación o manipulación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,413,359,295,396,88,163,75,204,220,340,213,331,4.968,209,248,560,183,157,115,74,155,96,445,27,130,,,,,,
,,             Valor,MP,4.257,5.391,5.017,3.811,1.295,1.786,1.519,4.324,4.846,7.204,6.901,6.854,3.581,5.571,7.462,13.875,5.986,3.221,3.842,6.415,7.641,6.353,3.155,1.039,2.671,,,,,,
,,         Poliplastos y elevadores (excepto elevadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          volcadores); cabrias y cabrestantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,912,2.079,1.273,2.739,2.702,2.186,4.988,2.698,2.268,6.583,5.243,3.450,1.885,3.064,1.805,2.234,6.587,3.991,4.982,1.445,3.340,2.019,11.463,1.422,1.422,,,,,,
,,             Valor,MP,786,1.356,1.637,1.674,842,641,814,838,1.388,2.597,4.537,3.133,2.407,4.577,4.051,4.452,2.417,2.094,3.233,3.033,4.520,2.590,1.736,3.051,3.051,,,,,,
,,         Elevadores y elevadores volcadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          de manipulación, carga o descarga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,653,4.080,1.253,1.421,3.464,174,420,288,564,570,858,298,394,260,380,419,296,611,529,597,435,348,360,48,48,,,,,,
,,             Valor,MP,3.037,4.630,5.570,5.389,6.291,4.446,9.252,7.314,11.398,9.871,18.622,7.697,12.422,7.451,9.978,11.337,7.616,14.631,11.054,17.311,16.331,9.598,12.528,1.036,1.036,,,,,,
,,         Grúas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,5.048,905,717,551,292,72,207,468,446,259,324,243,209,122,151,294,256,1.983,1.350,11.910,2.704,465,10.173,84,84,,,,,,
,,             Valor,MP,3.586,4.465,3.510,3.126,3.006,1.401,4.206,6.335,13.643,16.843,10.274,8.965,5.424,5.314,16.100,68.462,11.066,18.028,16.816,22.024,49.848,29.153,9.403,9.411,9.411,,,,,,
,,         Partes y piezas de las herramientas de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          uso manual, neumáticas o con motor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          no eléctrico incorporado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,430,335,555,632,498,779,916,873,1.378,728,1.569,1.288,1.215,1.467,1.250,2.294,1.290,1.520,1.292,1.778,1.392,1.337,1.213,739,739,,,,,,
,,         Aparatos agrícolas u hortícolas para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          proyectar, dispersar o pulverizar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,105.457,1.359.724,736.284,984.734,1.277.806,510.310,128.801,317.955,234.109,354.312,262.396,67.943,48.132,44.877,91.252,104.556,98.951,113.851,190.332,122.981,0,0,0,0,0,,,,,,
,,             Valor,MP,5.528,7.175,6.504,9.055,5.927,7.549,5.475,10.921,9.267,22.340,19.176,7.408,9.636,25.692,19.213,23.306,19.975,27.583,17.321,9.176,0,0,0,0,0,,,,,,
,,         Rodamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,10.720,11.963,9.892,8.635,7.957,7.268,10.177,8.954,12.924,17.107,23.685,17.825,15.017,19.971,20.014,23.508,25.437,25.686,28.093,20.511,21.014,16.263,9.855,7.604,7.604,,,,,,
,,        Gatos y elevadores de vehículos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,1.603,2.085,1.703,1.318,1.377,1.204,1.071,1.447,2.084,2.551,4.071,3.536,1.949,6.799,5.496,4.029,3.280,3.940,3.078,5.063,3.795,2.544,2.218,1.151,1.151,,,,,,
,,         Accesorios y piezas para equipos de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          garaje y aparejos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,132,242,261,277,255,194,265,525,381,576,616,188,378,638,266,361,599,270,194,357,151,208,289,170,170,,,,,,
,,"         Partes y piezas, n.e.p.,   de  las bombas,  compresores, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         ventiladores  y  campanas  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        de los rubros 743,1 y 743,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,-,-,-,-,-,-,4.485,14.971,11.088,11.466,,9.479,9.633,13.055,11.417,13.324,14.129,14.814,13.010,11.546,15.256,15.810,9.118,8.287,8.287,,,,,,
,,"         Grifos, llaves, válvulas y accesorios análogos, n.e.p.",,,,,,,,,,,,15.482,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,t,1.613,1.278,1.551,1.575,920,915,937,960,1.445,1.724,1.744,878,830,1.641,1.233,1.119,1.097,1.967,1.994,1.501,1.058,1.000,815,743,743,,,,,,
,,             Valor,MP,10.736,11.414,13.737,10.960,9.255,10.250,12.437,13.098,14.178,22.294,26.683,15.967,14.896,22.783,21.059,24.621,22.557,32.933,36.078,27.798,23.455,20.070,18.792,15.581,15.581,,,,,,
,75,        Máquinas de oficina y máquinas de proce-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         samiento automático de datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,55.528,61.693,69.896,98.603,63.864,68.370,94.730,83.241,96.444,103.924,130.725,47.261,42.454,56.000,55.950,70.286,61.982,131.453,124.921,77.714,125.591,73.433,76.441,49.671,49.671,,,,,,
,76,         Aparatos y equipos para telecomunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,           y para grabación y reproducción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          del sonido ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,136.481,128.792,139.687,152.778,150.586,143.652,140.731,97.396,157.066,141.418,140.518,96.810,127.081,80.338,86.010,112.348,94.428,179.483,157.606,153.442,155.702,158.316,117.362,173.457,173.457,,,,,,
,,         Receptores de televisión en colores combina-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          dos o no en una misma unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,95.663,293.603,393.442,407.166,618.693,339.021,264.363,103.176,574.966,543.669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,             Valor,MP,18.342,27.880,32.668,40.395,63.219,38.279,23.717,9.204,54.546,51.989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,         Receptores de televisión en blanco y negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          u otros tipos de receptores monocromáticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
