"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección empresarial y ",,,,,,
"        empresarial y órgano u organismo, año 2018",,,,,,,"        empresarial y órgano u organismo, año 2019",,,,,,,"        empresarial y órgano u organismo, año 2020",,,,,,,,,"        empresarial y órgano u organismo, año 2021",,,,,,,,,"      órgano u organismo, año 2022",,,,,,
,,,,,Unidad,,,,,,,Unidad,,,,,,,Unidad,,,,,,,,,,,Unidad,,                                                                                                                                                               Unidad,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unidades,Empresas ,Sociedades,Empresas ,Mipyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCEPTO,Total,Presupuestadas,Estatales, Mercantiles,Filiales,Estatal
,,,,,Unidades,,,,,,,Unidades,,,,,,,Unidades,,,,,,,,,,Cooperativas Agropecuarias,Unidades,,,,,,,,
,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,,,Sociedades,,,,Presu-,,Total,4.734,2.418,1.863,268,134,51
CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,,,CONCEPTO,Total,Empresas , Mercantiles,MIPYMES,CNoA,,puestadas,,,,,,,,
 Grupo Empresarial del Ministerio de Educación,#VALUE!,7,-,-,-,, Ministerio de Educación,#VALUE!,-,-,-,5,, Ministerio de Educación,4,-,-,-,"4,0 ",,,,Subordinado al Organismo Superior,7,1,-,-,2,-,"4,0 ",, Grupo de Empresas Mayoristas de Productos Alimenticios y otros Bienes de Consumo,23,-,23,-,-,-
 Ministerio de Educación Superior,#VALUE!,5,1,-,38,, Grupo Empresarial del Ministerio de Educación,#VALUE!,7,-,-,-,, Grupo Empresarial del Ministerio de Educación,7,7,-,-,-,,,, Grupo de Empresas Mayoristas de Productos Alimenticios y otros Bienes de Consumo,23,23,-,-,-,-,-,, Grupo Comercializador de Productos Industriales y de Servicios,22,-,21,1,-,-
 Ministerio de Cultura,#VALUE!,20,6,-,25,, Ministerio de Educación Superior,#VALUE!,5,1,-,38,, Ministerio de Educación Superior,46,5,3,-,"38,0 ",,,, Grupo Comercializador de Productos Industriales y de Servicios,22,21,1,-,-,-,-,, Ministerio del Comercio Exterior y la Inversión Extranjera,26,1,12,13,-,-
 Ministerio de Salud Pública,#VALUE!,1,6,-,50,, Ministerio de Cultura,#VALUE!,18,6,-,27,, Ministerio de Cultura,51,18,6,-,"27,0 ",,,, Ministerio del Comercio Exterior y la Inversión Extranjera,27,13,13,0,0,0,"1,0 ",,Subordinado al Organismo Superior,1,1,-,-,-,-
 Grupo Empresarial para el Aseguramiento de la Salud Pública,#VALUE!,6,-,-,-,, Ministerio de Salud Pública,#VALUE!,1,6,-,50,, Ministerio de Salud Pública,57,1,6,-,"50,0 ",,,,Subordinado al Organismo Superior,1,-,-,-,-,-,"1,0 ",, Grupo Empresarial del Comercio Exterior,25,-,12,13,-,-
" Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,8,, Grupo Empresarial para el Aseguramiento de la Salud Pública,#VALUE!,6,-,-,-,, Grupo Empresarial para el Aseguramiento de la Salud Pública,6,6,-,-,-,,,, Grupo Empresarial del Comercio Exterior,26,13,13,-,-,-,-,," Ministerio de Ciencias, Tecnología y Medio Ambiente",86,78,6,2,-,-
 Ministerio del Turismo,#VALUE!,-,5,19,3,," Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,8,," Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,"8,0 ",,,," Ministerio de Ciencias, Tecnología y Medio Ambiente",86,6,2,0,0,0,"78,0 ",,"Grupo Empresarial de la Ciencia, la Tecnología y el Medio Ambiente",64,62,-,2,-,-
" Grupo Empresarial CUBASOL, S.A.",#VALUE!,-, 7,-,-,, Ministerio del Turismo,#VALUE!,-,5,18,2,, Ministerio del Turismo,25,-,5,18,"2,0 ",,,,Subordinado al Organismo Superior,78,6,2,-,-,-,"70,0 ",,Agencia de Energía Nuclear y Tecnologías de Avanzada,8,8,-,-,-,-
" Corporación de comercio y turismo internacional Cubanacán, S.A.",#VALUE!,-, 2,-,-,," Grupo Empresarial CUBASOL, S.A.",#VALUE!,-, 7,-,-,," Grupo Empresarial CUBASOL, S.A.",7,-, 7,-,-,,,, Agencia de Medio Ambiente,8,-,-,-,-,-,"8,0 ",,Subordinado al Organismo Superior,6,-,6,-,-,-
" Grupo Empresarial Hotelero Gran Caribe, S.A.",#VALUE!,-, 3,-,-,," Corporación de comercio y turismo internacional Cubanacán, S.A.",#VALUE!,-, 2,-,-,," Corporación de comercio y turismo internacional Cubanacán, S.A.",2,-,2,-,-,,,, Ministerio de Educación,11,7,0,0,0,0,4,, Agencia de Medio Ambiente,8,8,-,-,-,-
