8.5 - Exportaciones según país del último destino de las  mercancías  por países seleccionados y áreas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        geográficas,,,,,,,,,,,,,,,,,,,                                          ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Miles de pesos,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,5.991.477,5.321.489,5.402.060,5.512.441,5.399.884,5.414.949,2.979.512,1.779.424,1.156.663,1.330.756,1.491.634,1.865.526,1.819.127,1.512.197,1.495.783,1.675.259,1.621.891,1.421.670,1.688.017,2.332.118,2.159.443,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
    República Checa,119.222,123.292,143.998,182.376,135.895,80.618,7.854,5.809,55,329,956,246,199,297,493,32,101,60,2,176,660,1.276,1.328,1.548,1.773,6.043,6.709,2.964,3.541,10.202,2.462,2.343,2.747,2.991,2.109,2.238,1.951,2.503
    República Eslovaca,-,-,-,-,-,-,-,-,475,649,-,4,377,-,-,30,120,-,9,186,1,35,36,540,472,76,33, -, -,7,2,3.420,2.255,408,9,2,6,234
    Rumania,38.319,83.806,108.954,96.665,121.974,99.101,2.879,4.544,6.469,19.623,27.058,60.321,15.922,9.823,1.777,11.534,13.018,27,8.268,2.196,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Suecia,2.947,6.465,7.759,18.870,31.262,22.523,21.875,20.337,16.352,24.269,24.625,32.944,35.884,31.346,35.240,50.426,2.089,965,2.080,2.791,1.741,1.259,1.182,1.522,1.409,1.162,1.991,3.367,4.323,2.362,2.412,4.695,16.869,3.191,3.690,4.377,13.776,8.748
    Suiza,68.686,53.879,48.746,12.161,72.615,16.134,10.799,13.136,9.949,7.625,12.710,12.811,23.841,21.466,24.329,22.602,30.261,15.110,25.746,25.067,13.290,12.497,12.472,15.235,14.506,14.194,14.290,16.737,34.143,17.779,19.481,15.069,21.833,21.686,36.996,18.102,12.651,10.299
    Ucrania,-,-,-,-,-,-,-,58.923,64.745,19,523,42.140,557,22.614,1.199,478,690,38,9.149,9.377,429,987,1.289,12.453,6.749,7.198,966,910,551,3.199,869,3.502,2.885,15,1.631,12,12,41
    Yugoslavia,2.354,20,2.463,828,4.083,3.198,20,5.609,-,-,3.531,3,-,-,-,-,113,121,40,-,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Otros,6.077,7.833,3.864,5.236,13.189,3.942,3.051,1,1.595,216,391,18.653,31.733,25.698,8.414,5.113,150,295,17.742,2.571,14.095,10.775,14.516,20.605,44.475,6.104,89.012,32.295,115.675,33.067,68.143,69.490,75.530,4.456,3.390,8.968,48.082,49.215
 Asia,295.848,215.363,234.443,406.172,411.785,444.764,373.981,325.835,146.352,223.504,327.718,264.137,338.038,197.418,182.563,204.514,147.545,170.682,142.393,150.202,171.472,405.420,997.433,884.080,650.262,959.275,1.028.848,614.414,637.026,518.128,462.009,467.941,652.394,671.801,603.671,464.252,590.914,561.459
  Arabia Saudita,2.024,-,901,535,277,368,-,-,-,-,-,-,-,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"  China, República Popular",157.826,58.406,85.468,226.253,216.700,267.381,154.717,160.338,68.008,113.070,188.926,121.317,97.197,81.855,49.491,80.532,73.737,74.606,77.336,80.150,104.848,243.971,928.320,677.107,516.303,680.564,778.196,459.060,343.590,301.701,268.044,257.356,364.081,456.586,442.637,371.763,417.708,409.435
  Chipre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.412,29.005,20.820,28.232,43.723,28.669,39.401,33.469,28.919,28.403,39.472,37.104,28.497,25.726,30.003,24.415,14.825,17.540
"  Corea, República Popular Democrática de",9.937,9.008,15.132,13.784,13.129,15.245,13.051,16.406,190,5.727,6.144,4.603,32.378,24.609,35.157,43,3.803,49,4.034,153,2.900,2.830,1.824,3.596,3.034,3.497,3.553,5.324,6.462,6.051,5.261,1.429,-,6,-,-,-,-
  Corea del Sur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.153,1.672,1.844,3.026,1.164,4.561,1.954,2.054,9.475,14.904,3.546,1.711,1.297,916,2.875,569,2.035,3.675
  Emiratos Árabes Unidos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,592,336,2.855,8.039,11.796,2.878,5.403,3.348,81.397,7.912,5.751,8.622,2.886,4.513,4.222,1.533,4.385,6.487
  Filipinas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,673,379,597,786,1.241,1.114,831,2.416,2.984,3.288,2.276,3.599,3.996,3.970,2.736,3.442,5.656,4.930
  Hong Kong,542,1.779,608,1.162,412,852,702,1.435,1.696,1.789,3.894,2.918,7.294,8.557,6.188,4.886,5.509,5.893,6.950,10.078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  India,13.790,2.159,20.383,11.122,15.402,20.981,23.983,4.766,5.301,5.613,9.454,12.461,6.772,6.981,8.956,6.796,1.548,1.717,4.467,1.111,610,1.384,1.171,2.498,2.255,1.535,3.654,4.400,2.511,1.296,1.626,1.795,1.714,3.525,2.953,3.305,1.621,4.713
  Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,5.707,824,927,51,123,455,210, -,113,77,96,45.223,156,29,69,29,48
  Irak,14.706,8.094,4.492,15.821,12.312,11.060,-,-,-,-,-,-,23,291,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Irán,-,-,5,-,11,12,-,8.062,5.896,177,6.639,12.377,73.921,14.442,19.620,14.179,12.121,38.639,8.568,4.845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Israel,-,-,-,-,-,-,-,-,245,130,940,87,2,56,371,95,113,119,228,1.090,2.277,1.653,1.074,2.141,1.979,2.260,2.788,6.512,6.648,6.149,3.695,2.718,7.614,9.031,5.865,7.138,5.752,7.294
  Japón,78.620,111.439,77.171,109.268,103.132,87.592,139.444,83.460,34.904,45.283,82.690,72.890,92.310,19.478,49.506,28.024,29.558,26.752,16.396,25.931,12.772,8.379,12.467,9.289,5.691,8.446,9.490,10.004,12.866,6.809,7.119,5.621,3.109,7.066,9.198,2.772,4.972,4.241
  Kazajstán,-,-,-,-,-,-,-,27.887,294,3.809,8.203,-,-,50,8,65,2,40,2.233,10.570,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Kirquizistán,-,-,-,-,-,-,-,619,15.862,3.256,14,3,4.025,2,-,34,4,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Líbano,2.717,437,3.200,122,2.598,-,2.852,1.570,4.017,3.312,7.488,6.776,372,171,836,4,4,644,146,43,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Malasia,2.433,2.940,,6.382,16.111,-,-,-,-,5.754,-,-,-,-,-,-,-,3.851,33,39,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Mongolia,777,1.539,805,890,1.227,195,20,-,-,-,-,-,-,-,-,-,5,5,8,-,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Sri Lanka,1.003,2.120,7,-,1.977,-,-,-,-,-,-,16,74,107,146,159,15,-,245,403,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Singapur,19,44,121,168,-,-,49,-,-,5.017,19,                 -,155,5,41,                 -,6.362,4.948,4,29,46,79.349,53,118.408,34.639,186.227,26.553,31.913,34.706,22.786,13.277,40.074,59.597,75.693,965,326,815,1.888
  Siria,7.562,6.092,10.458,5.209,14.909,25.773,32.006,10.693,4.847,12.954,11.943,20.400,10.216,39,4.117,3.842,375,2.618,99,114,193,132,169,194,12,4.480,236,102,803,114,168,5.859,5.708,7.671,-,-,-,1.680
