8.6- Importaciones según país de origen de las mercancías  por  países seleccionados y áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                                         ,,,,,,,,,,,,,,,,,,                Miles de pesos,                Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,7.602.894,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.982,11.483.653,9.901.427,7.230.347,8.431.207,9.833.119
    Rumania,133.354,85.940,182.112,183.903,158.919,103.784,9.061,-,220,5.199,29.001,31.705,20.713,8.366,7.860,6.639,2.817,3.919,621,1.056,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Suecia,23.789,20.500,13.547,11.985,14.031,11.176,12.439,9.472,8.627,5.868,15.136,10.184,31.082,17.764,22.980,20.273,31.489,19.525,30.922,36.284,36.592,38.945,48.317,61.600,32.307,31.519,42.308,40.122,57.619,37.360,73.449,47.839,40.742,73.890,64.328,104.160,57.974,47.126
    Suiza,22.655,23.572,36.731,31.884,50.085,30.906,55.223,209.373,40.807,24.133,22.032,25.321,9.131,11.334,9.886,8.416,20.562,12.577,16.614,19.069,19.969,27.070,35.234,30.786,21.811,21.313,20.836,28.640,27.936,32.928,52.225,32.411,41.496,35.284,27.135,16.628,18.864,26.156
    Ucrania,-,-,-,-,-,-,-,610,4.796,1.914,3.987,2.607,13.350,39.093,32.776,22.836,10.526,13.302,18.298,8.521,25.812,23.456,22.543,59.158,16.919,13.090,43.549,36.669,166.829,114.947,48.785,9.169,12.791,19.809,11.174,6.748,6.461,4.837
    Yugoslavia,34.958,26.938,18.883,17.276,63.607,9.600,7.569,677,11,-,541,5.514,1,10,-,5,20,42,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Otros,4.096,5.867,6.166,5.131,10.624,4.930,1.248,-,28.445,31.494,5.037,20.156,2.590,5.705,4.045,3.029,1.975,2.397,8.756,3.522,22.296,14.613,14.317,14.550,6.721,13.803,26.635,28.530,46.047,71.014,31.105,40.286,82.787,61.824,30.284,21.481,20.340,30.813
 Asia,491.959,415.410,239.302,294.415,365.473,428.619,334.083,348.215,267.826,229.891,303.489,379.976,516.378,686.059,777.875,783.975,887.414,826.404,931.243,1.100.983,1.600.100,2.310.271,2.568.649,2.876.359,1.841.703,1.831.915,2.023.957,1.785.589,2.126.619,1.928.090,2.969.537,2.994.685,2.334.666,2.389.350,2.009.406,1.554.013,1.691.740,2.003.501
  Arabia Saudita,-,-,-,-,-,-,-,-,-,-,-,5,21,27.443,15,265,193,89,13.046,42,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,
"  China, República Popular",227.876,121.694,100.750,175.642,260.193,334.426,270.367,257.148,201.631,134.741,170.771,154.540,248.293,336.496,432.241,443.769,548.494,518.246,506.165,590.289,891.441,1.571.130,1.518.084,1.480.791,1.171.205,1.223.245,1.281.415,1.236.840,1.533.699,1.334.219,2.331.120,2.328.160,1.659.428,1.544.405,1.228.468,963.339,972.057,1.146.502
  Chipre,,,,,,,,,,,,,,,,,,,,,3.430,44,383,172,640,520,103,0,93,1,106,95,-,221,-,65,20,25
"  Corea, República Popular Democrática de",12.661,9.079,12.053,7.649,19.653,17.211,14.277,14.221,748,5.503,4.565,6.875,12.986,10.992,9.019,9.990,2.279,1.815,6.346,13.639,2.859,3.056,5.382,4.409,4.628,4.888,4.556,5.451,7.381,7.080,5.393,7.384,423,668,973,212,318,1.920
  Corea del Sur,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,83.391,181.375,331.747,429.986,111.858,94.455,128.814,110.185,97.781,88.250,63.287,65.087,103.838,118.698,143.596,65.218,61.115,92.116
  Emiratos Árabes Unidos,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,261,916,580,968,1.709,1.287,3.062,1.958,3.541,1.667,2.808,2.237,3.829,3.209,2.523,1.598,22.660,3.732
  Filipinas,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,2.319,1.039,2.073,3.984,968,1.188,5.008,633,4.324,926,1.742,1.135,1.252,1.718,1.169,615,606,679
  Hong Kong,3.299,2.486,290,-,70,-,-,-,-,-,3.970,14.333,30.143,39.405,34.887,25.373,16.924,14.175,15.600,7.051,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  India,2.975,1.682,1.255,9.837,12.028,13.425,3.148,3.181,1.145,51,210,1.318,3.843,7.236,8.480,8.866,8.931,9.843,10.800,15.368,18.606,22.087,33.720,61.702,50.688,52.642,63.518,62.306,67.359,62.436,90.826,68.815,73.774,90.593,99.980,87.911,78.703,70.217
  Indonesia,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,6.642,41.892,17.250,24.407,16.942,23.001,27.968,23.425,31.522,13.785,20.819,25.430,15.302,24.010,17.602,11.707,24.899,20.498
  Irak,2.329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Irán,-,-,-,-,-,-,-,16.234,-,-,-,10,71,3.345,324,513,1.408,1.578,1.881,2.651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Israel,-,-,-,-,-,-,-,-,256,348,1.577,7.298,13.657,15.080,26.121,23.751,24.395,18.403,19.960,20.841,20.795,23.079,20.714,22.634,15.779,16.329,25.888,20.336,28.241,18.835,24.064,18.125,11.622,6.368,15.785,4.192,2.291,1.537
  Japón,219.201,264.563,106.503,88.564,50.759,44.502,41.221,9.357,8.435,9.296,24.317,36.849,62.229,76.474,76.125,83.078,80.725,69.218,111.407,159.866,247.057,174.875,224.428,153.304,88.510,77.926,78.854,54.478,71.399,72.604,79.842,87.344,75.075,85.194,73.177,40.396,31.105,51.231
  Kazajstán,-,-,-,-,-,-,-,-,-,-,-,-,76,3.082,1.337,4.676,277,471,1.126,5.724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Kirquizistán,-,-,-,-,-,-,-,-,-,1,-,-,11,11,59,26,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Líbano,-,-,-,-,-,-,-,-,-,-,-,5.194,4,-,-,3,-,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Malasia,-,-,-,-,-,-,-,-,-,-,991,361,5.447,16.831,16.463,9.729,11.530,9.415,9.969,9.464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Mongolia,684,1.437,726,1.144,994,1.609,469,-,-,-,16,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Sri Lanka,-,-,-,-,-,-,-,S,-,-,-,1,79,21,573,4,105,15,26,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Singapur,-,93,607,2.462,185,42,220,-,-,-,1.079,2.845,3.193,4.106,4.352,3.216,4.747,4.771,44.123,7.952,6.493,3.104,3.409,7.578,3.224,3.570,7.123,4.648,3.856,3.217,2.058,2.829,4.777,3.033,2.281,682,1.696,534
  Siria,-,-,-,-,-,-,-,32.254,-,-,-,-,17,272,586,395,211,2,138,9,-,296,1.408,394,118,609,3.160,470,200, -,1,-,-,-,1,21,43,68
  Taiwán,989,-,-,-,-,-,-,-,205,190,10.158,2.491,8.409,11.334,15.317,18.146,14.453,12.989,14.054,14.554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Turquía,66,-,-,12,-,-,-,-,-,58,7.070,18.534,1.087,2.597,2.312,4.369,7.243,19.771,5.078,6.143,5.656,9.694,41.652,37.769,14.022,29.306,24.868,20.574,23.697,24.379,22.599,20.936,35.652,50.362,64.571,90.362,87.644,128.484
  Viet Nam,21.879,14.376,17.118,8.747,20.724,17.404,3.904,15.820,43.656,44.365,67.920,81.193,68.188,8.017,53.843,48.928,59.137,69.051,80.572,146.663,251.787,190.392,281.430,514.342,276.049,266.260,308.747,190.459,187.588,241.931,247.493,269.920,279.641,374.039,276.624,191.225,299.447,218.853
  Otros,-,-,-,358,867,-,477,-,11.750,35.338,10.845,48.129,58.621,123.316,95.821,98.878,106.361,76.545,90.949,100.699,59.363,87.292,86.389,133.919,85.363,36.689,60.873,53.826,65.938,58.760,77.380,97.188,70.053,86.832,82.657,96.470,109.138,267.108
 África,23.791,17.699,29.941,12.107,28.720,32.042,31.222,10.752,11.625,8.772,26.845,42.638,62.415,101.546,24.323,24.597,20.065,10.201,86.130,69.905,147.739,235.792,239.822,287.605,176.919,222.423,328.128,352.180,355.557,307.420,211.414,264.443,328.420,428.886,261.231,137.176,385.061,48.341
  Angola,2.682,861,4.016,-,-,-,-,-,-,-,-,-,-,-,-,38,-,1,1,-,-,-,20, -, -,3,7, -,2, -,-,1.939,2.927,-,-,70,9.624,5.909
  Argelia,14.816,763,-,-,-,-,-,5,-,-,3.039,120,-,-,-,24,35,14,71.977,64.001,142.120,227.955,225.469,243.698,169.163,213.271,308.756,330.979,307.606,292.271,193.660,251.726,294.945,372.086,221.488,118.011,277.389,-
  Cabo Verde,-,-,-,-,-,-,-,363,-,-,-,                 -,1,1,13,165,142,138,210,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"  Congo, República del ",341,163,173,-,1.179,700,-,-,-,1,-,                 -,1.514,1.831,1.849,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Costa de Marfil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-, -, -, -,64, -, -, -, -, -, -, -, -, -, -, -
