8.11 -  Exportaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección,Capítulo,CONCEPTO,   UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las exportaciones (a),   MP,1.512.197,1.495.783,1.675.259,1.621.891,1.421.658,1.671.631,2.332.118,2.159.453,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
,58 ,     Plásticos en formas no primarias,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,23,11,19,25,69,24,15,115,426,112,131,65,553,69,96,162,6,129,62,37,17,47,6,1.877,1.742
,59 ,"      Materias y productos químicos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,4.650,2.434,1.758,2.255,2.704,3.555,4.071,7.384,11.185,23.822,32.798,30.589,33.302,37.043,40.061,42.946,51.991,46.377,36.259,48.454,41.629,25.386,17.292,33.609,27.378
6 ,,"   Artículos manufacturados, clasificados",,,,,,,,,,,,,,,,,,,,,,,,,,
,,     principalmente según el material,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,97.202,94.268,99.230,82.707,90.330,164.611,112.723,110.524,94.884,117.162,137.887,98.983,123.347,145.148,144.599,111.903,93.856,50.193,38.643,51.388,166.790,178.124,100.503,155.020,164.398
,61 ,"     Cuero y manufacturas de cuero, n.e.p.,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,       y pieles finas curtidas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1.639,259,1.835,2.410,2.098,1.829,1.540,850,999,2.045,1.026,101 ,354,852,1.918,2.071,2.742,2.557,296,610,82,48,-,1,-
,62 ,"     Manufacturas de caucho, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,8,32,31,76,137,26,63,1.024,77,821,430,373 ,691,461,371,225,173,229,202,167,61,152,46,156,36
,63 ,     Manufacturas de corcho y de madera,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      (excepto muebles),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,246,165,240,812,286,282 ,166,235,207,141,168,190 ,160,244,195,253,924,384,674,306,458,1.992,123,617,266
,64 ,"     Papel, cartón y artículos de pasta de papel",,,,,,,,,,,,,,,,,,,,,,,,,,
,,      o de cartón,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,594,1.810,2.336,3.265,2.582,86.581,35.410,18.532,2.520,2.689,1.254,918,1.361,695,845,883,284,393,324,505,587,588,170,125,36
,65 ,"     Hilados, tejidos y artículos confeccionados",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"     de fibras textiles, n.e.p. y productos conexos",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,12.655,3.369,1.829,2.199,3.436,1.445,1.043,1.554,763,1.516,1.206,1630 ,956 ,1.463,1.668,1.118,170,622,657,369,305,120,163,121,90
,,       Sogas y cordeles de henequén,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,849,1.470,723,614,548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,         Valor,   MP,732,1.288,544,413,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,66 ,"     Manufacturas de minerales no metálicos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,28.361,36.075,22.911,28.544,35.508,34.357,33.083,41.602,39.500,44.383,46.976,43.266,37.711,38.324,40.036,27.731,16.205,2.267,189,666,2.201,3.367,1.119,170,1.016
,,      Cemento,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,638.350,848.104,670.261,874.804,1.228.965,1.021.476,984.227,1.200.889,1.094.734,1.114.919,923.507,820.341,748.137,726.530,718.083,461.220,198.019,25.274,2.001,10.271,46.585,86.135,31.683,911,10.375
,,         Valor,   MP,27.053,35.149,22.214,28.075,34.950,33.887,32.339,39.334,39.117,43.908,46.059,42.149,34.106,35.356,39.867,27.194,15.850,2.026,160,431,2.171,3.335,1.045,54,837
,67 ,     Hierro y acero,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,45.985,43.430,61.484,39.542,39.554,34.489,35.974,43.849,43.238,56.901,76.905,43.994,71.374,94.128,83.113,71.851,64.886,38.510,30.999,36.453,43.630,21.723,9.306,8.474,4.631
,68 ,     Metales no ferrosos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,6.694,6.506,5.012,3.387,4.827,3.060,4.098,990,3.797,4.622,5.242,2.438,4.688,6.311,5.833,4.883,3.366,1.926,4.348,11.444,118.849,147.711,88.406,142.812,157.792
,69 ,"     Manufacturas de metales, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1.020,2.622,3.552,2.472,1.902,2.542,1.346,1.888,3.783,4.044,4.680,6.073,6.052,2.669,10.620,2.889,5.106,3.306,955,869,619,2.424,1.171,2.546,531
7 ,,   Maquinaria y equipo de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,10.225,10.033,11.525,20.615,29.322,49.500,52.483,94.685,229.288,171.714,164.454,171.625,111.380,136.110,104.699,101.044,83.848,46.320,72.183,65.098,29.892,49.851,19.962,28.266,27.889
